# language: english 
# corpus: english-brown 
# Number of words analyzed 100 
# Number of neighbors identified 9 

the a his their its an my our this any
, . and ; -- ( ? ) : or
. , ? ( ; -- and ) : or
of in with by for from at on into to
and or : , ; ( -- that as than
to in at for by from on of with into
a the an any this my no its his some
in from at on of with by for into to
that or as what but : when than which before
is was were are be been and or such as
was is were are be been or and do such
he she i they who we there it you which
for by with from at about in of on after
it you there who this them me she up out
with by for from at into on in about of
as than or that but when so : even after
his their my its our the this her a an
on at into from over in with by about for
be been were are was is do such not as
at on from into with by in for about over
by for with from at about into on in of
i they we he she who you there it one
this its my our their his an such there some
had has have did said do made first like who
not only even also no so been any now more
are were is was be been such or than as
but if when that as what then than so or
from by into at with on for in about over
or : than as that and ( so such --
have had has do did like said my who its
an any no some a this one even only more
they i we she he who you there it one
which what that when if but before who than then
-- ; ( : ) or ? and that ,
one more some first any most there only new also
you it we they i there she them who me
were are is was be been such or do than
her them me him my his it their up this
all such some after than like about even before then
she he i they who we there it you which
; -- ( : ) ? and or , that
there who one now then even before like all this
would can could will may did to do or also
their its our my his this such the these all
we they i you she he who there it such
him them me her it up you out my do
been be were was is are not even also some
) ( -- ; time : man f ? first
has had have did said first do who like )
( -- ; ) : or ? and , that
? ( -- ; . ) , : one any
when if what but that then as before which than
who there she which they he i or then we
will may can would could did to such or some
more most one some only any also no first such
no any an only also even more made not so
if when but what that as which then than before
out up over made about also only on there now
so even now also as or then only than but
said now made then also before like even about did
what if which when that then but before than as
j f man time new other first two these )
up out over about on made into like there at
its our their my this his such some these all
about like over after at by with before for into
than as or that before : after all then like
into from on at over by with about for in
them me him her it you up out do my
can would will could may did to do such or
only also even made now no more any so one
: or -- ( ; that than as ) and
other two many new j these f such man most
new two first other f j such man one many
some any such more one all most an even only
could can would will may did do to also such
time f man first j ) one new all there
these many such other two all our new f its
two other many new most f these j such some
may will can would could did to such or some
then now before what when like but that after than
do did like before all after about than such said
first new time one man f j most more some
any an no some one more only even also this
my its their our his this such an her that
now even so also then only said made like there
such all some these many our new its or after
like about after before all over then than by now
our its their my this his such these all some
over about on into up at like out from by
man f j time first new ) other two one
me them him her it you up out do over
even now so also only all then than as no
most more some two one many first such new any
made also only said now no even out over any
f j man time new first other two ) these
also only even now made so no more said not
after before like about all than for then by with
did do said like before could after about then all
many two other these such most new some all f
before after like about then than when that all what
